title,title2,genre,ratings,studio,type,rank,members,description,img_url,link
Tokyo Revengers,,"['Action', 'Drama', 'Supernatural', 'Delinquents', 'School', 'Time Travel', 'Shounen']",8.06,LIDENFILMS,TV,Ranked #513,"Members 1,039,020","Takemichi Hanagaki's second year of middle school was the highest point in his life. He had respect, a gang of friends he could count on, and even a girlfriend. But that was twelve years ago. Today, he's a nobody: a washed-up nonentity made fun of by children and always forced to apologize to his younger boss. A sudden news report on the Tokyo Manji Gang's cruel murder of the only girlfriend he ever had alongside her brother only adds insult to injury. Half a second before a train ends his pitiful life for good, Takemichi flashes back to that same day 12 years ago, when he was still dating Hinata Tachibana.

After being forced to relive the very same day that began his downward spiral, Takemichi meets Hinata's younger brother. Without thinking, he admits to his seeming death before flashing back to the past. Takemichi urges him to protect his sister before inexplicably returning to the future. Miraculously, he is not dead. Stranger still, the future has changed. It seems as though Takemichi can alter the flow of time. Given the chance to prevent his ex-girlfriend's tragic death at the hands of the Tokyo Manji Gang, Takemichi decides to fly through time to change the course of the future.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1839/122012.jpg,https://myanimelist.net/anime/42249/Tokyo_Revengers
Boku no Hero Academia 5th Season,My Hero Academia Season 5,"['Action', 'School', 'Super Power', 'Shounen']",7.41,Bones,TV,Ranked #2033,"Members 987,761","UA Academy's Class 1-A has been the focus of a substantial amount of public attention due to the multiple villain attacks they have faced over the past school year. This attention has left Class 1-A's rivals, Class 1-B, feeling quite bitter. Desiring to prove their skills, they look forward to the opportunity that has been given to them: a set of mock battles between the students of each class.

The classes are split into squads of four, each of which is tasked with capturing the other group members. The winner is the group who first secures all of the opposing team. While this sounds simple, a curveball is thrown into the mix with the inclusion of General Course Student Hitoshi Shinsou, who wishes to transfer into the Hero Course. Despite using his training with Class 1-A's homeroom teacher Shouta ""Eraserhead"" Aizawa to prove that he's capable of being a real hero, he is still far behind the others due to his lack of experience. However, Shinsou is determined to overcome this challenge.

Thus begins the fiery competition between Class 1-A and 1-B as each tries to prove that they are superior to the other.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1911/113611.jpg,https://myanimelist.net/anime/41587/Boku_no_Hero_Academia_5th_Season
Fumetsu no Anata e,To Your Eternity,"['Adventure', 'Drama', 'Supernatural', 'Shounen']",8.38,Brain's Base,TV,Ranked #183,"Members 740,710","An Orb, known only as It, is cast to Earth to be observed from afar. Capable of changing forms from beings whose reflections It captures, It first becomes a rock and then, due to the rising temperature, moss.

It does not move until one snowy day, a wolf at death's door barely crosses by. When It takes the animal's form, It attains awareness of its consciousness and starts to wander with an unclear destination in mind. Soon, It comes across the wolf's master—a young boy waiting for his tribe to return from a paradise abundant with fish and fruit in the south. Although the boy is lonely, he still hopes those whom he holds dear in his memories have not forgotten him and that he will reunite with them one day.

The boy wants to explore new surroundings and decides to abandon his home with It to find the paradise using the traces his tribe left behind. However, with a heavily injured body and no sight of his elder comrades, what will become of the boy?

Fumetsu no Anata e illustrates the story of an immortal being experiencing humanity, meeting all types of people in many places throughout time.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1880/118484.jpg,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e
"Ijiranaide, Nagatoro-san","Don't Toy with Me, Miss Nagatoro","['Comedy', 'Romantic Subtext', 'School']",7.35,Telecom Animation Film,TV,Ranked #2289,"Members 686,904","Every day, Naoto Hachiouji is teased relentlessly by Hayase Nagatoro, a first year student he meets one day in the library while working on his manga. After reading his story and seeing his awkward demeanor, she decides from that moment on to toy with him, even calling him ""Senpai"" in lieu of using his real name.

At first, Nagatoro's relentless antics are more bothersome than anything and leave him feeling embarrassed, as he is forced to cater to her whims. However, as they spend more time together, a strange sort of friendship develops between them, and Naoto finds that life with Nagatoro can even be fun. But one thing's for sure: his days will never be dull again.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1900/110097.jpg,https://myanimelist.net/anime/42361/Ijiranaide_Nagatoro-san
86,86 Eighty Six,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military']",8.26,A-1 Pictures,TV,Ranked #274,"Members 602,042","According to the Republic of San Magnolia, their ongoing war against the Giadian Empire has no casualties—however, that is mere propaganda. While the silver-haired Alba of the Republic's eighty-five sectors live safely behind protective walls, those of different appearances are interned in a secret eighty-sixth faction. Known within the military as the Eighty-Six, they are forced to fight against the Empire's autonomous Legion under the command of the Republican ""Handlers.""

Vladilena Milizé is assigned to the Spearhead squadron to replace their previous Handler. Shunned by her peers for being a fellow Eighty-Six supporter, she continues to fight against their inhumane discrimination. Shinei Nouzen is the captain of the Spearhead squadron. Infamous for being the sole survivor of every squadron he's been in, he insists on shouldering the names and wishes of his fallen comrades. When the fates of these young souls from two different worlds collide, will it ignite the spark that lights their path to salvation, or will they burn themselves in the flames of despair?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1987/117507.jpg,https://myanimelist.net/anime/41457/86
Hige wo Soru. Soshite Joshikousei wo Hirou.,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway","['Drama', 'Romance']",7.29,Project No.9,TV,Ranked #2551,"Members 530,474","When regular salaryman Yoshida wakes up one Sunday morning after a long night at the bar, the last thing he expects to see is that his tiny apartment has a new resident—an unfamiliar high school girl.

The previous night, despite finally gathering the courage to confess to his boss and longtime crush, Airi Gotou, Yoshida was rejected. After drowning his sorrows at a bar with his good friend Hashimoto, Yoshida headed back to his home in a drunken stupor, only to run into Sayu Ogiwara, a runaway high schooler. She asked him to let her stay the night, and with his judgment clouded by alcohol, Yoshida complied.

Now, with his head on straight but with no memory of last night's events, Yoshida has Sayu explain just how she ended up sleeping at his apartment. Having listened to her story, Yoshida finds himself unable to kick her out—especially after learning that she came all the way from Hokkaido! So, despite his reservations about sheltering an underage girl, Yoshida allows her to stay, and their life together begins.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1146/113477.jpg,https://myanimelist.net/anime/40938/Hige_wo_Soru_Soshite_Joshikousei_wo_Hirou
Vivy: Fluorite Eye's Song,Vivy -Fluorite Eye's Song-,"['Action', 'Sci-Fi', 'Suspense', 'Music', 'Time Travel']",8.43,Wit Studio,TV,Ranked #154,"Members 456,095","When highly evolved AIs set out to eradicate mankind, the carnage that ensues fills the air with the stench of fresh blood and burning bodies. In a desperate bid to prevent the calamity from ever occurring, a scientist bets everything on a remnant from the past.

Turning the clock back a hundred years, AIs are already an integral part of human society, programmed with specific missions meant to be carried out for their entire course of operation. Vivy, the first ever autonomous AI, is a songstress tasked with spreading happiness through her voice. In a theme park where she hardly ever gets a proper audience, she strives to pour her heart out into her performances, bound to repeat it day after day—that is, until an advanced AI from the future appears before her and enlists her help in stopping a devastating war a hundred years in the making. With no time to process the revelation that flips her world upside down, Vivy is catapulted into a century-long journey to avert the violent history yet to come.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1637/115052.jpg,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song
Fruits Basket: The Final,Fruits Basket: The Final Season,"['Drama', 'Romance', 'Supernatural', 'Shoujo']",9.02,TMS Entertainment,TV,Ranked #12,"Members 387,768","Hundreds of years ago, the Chinese Zodiac spirits and their god swore to stay together eternally. United by this promise, the possessed members of the Souma family shall always return to each other under any circumstances. Yet, when these bonds shackle them from freedom, it becomes an undesirable burden—a curse. As head of the clan, Akito is convinced that he shares a special connection with the other Soumas. While he desperately clings to this fantasy, the rest of the family remains isolated and suppressed by the fear of punishment.

Tooru Honda, who has grown attached to the Soumas, is determined to break the chains that bind them. Her companionship with the family and her friends encourages her to move forward with lifting the curse. However, due to confounding revelations, she struggles to find the tenacity to continue her endeavors. With time slowly withering away, Tooru contends with an uncertain future in hopes of reaching the tranquility that may lie beyond all this commotion.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1085/114792.jpg,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
Odd Taxi,,"['Award Winning', 'Mystery', 'Anthropomorphic']",8.71,"OLM,             P.I.C.S.",TV,Ranked #47,"Members 349,340","Eccentric and blunt, the walrus Hiroshi Odokawa lives a relatively normal life. He drives a taxi for a living, and there he meets several unique individuals: the jobless Taichi Kabasawa who is dead-set on going viral, the mysterious nurse Miho Shirakawa, the struggling comedic duo ""Homo Sapiens,"" and Dobu, a well-known delinquent.

But Odokawa's simple way of life is about to be turned upside-down. The case of a missing girl the police have been tracking leads back to him, and now both the yakuza and a duo of corrupt cops are on his tail. Set in a strangely familiar city filled with unusual individuals, Odd Taxi is a bizarre story about a humble taxi driver and the mystery of a lost high schooler.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1981/113348.jpg,https://myanimelist.net/anime/46102/Odd_Taxi
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,How Not to Summon a Demon Lord Ω,"['Comedy', 'Fantasy', 'Ecchi', 'Harem', 'Isekai']",6.72,"Tezuka Productions,             Okuruto Noboru",TV,Ranked #5301,"Members 347,325",Second season of Isekai Maou to Shoukan Shoujo no Dorei Majutsu.,https://cdn.myanimelist.net/images/anime/1011/113703.jpg,https://myanimelist.net/anime/41623/Isekai_Maou_to_Shoukan_Shoujo_no_Dorei_Majutsu_Ω
