title,title2,genre,ratings,studio,type,rank,members,description,img_url,link
Tensei shitara Slime Datta Ken 2nd Season Part 2,That Time I Got Reincarnated as a Slime Season 2 Part 2,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Mythology', 'Reincarnation']",8.32,8bit,TV,Ranked #227,"Members 602,024","The nation of Tempest is in a festive mood after successfully overcoming the surprise attack from the Falmuth Army and the Western Holy Church. Beyond the festivities lies a meeting between Tempest and its allies to decide the future of the Nation of Monsters. The aftermath of the Falmuth invasion, Milim Nava's suspicious behavior, and the disappearance of Demon Lord Carrion—the problems seem to keep on piling up.

Rimuru Tempest, now awakened as a ""True Demon Lord,"" decides to go on the offensive against Clayman. With the fully revived ""Storm Dragon"" Veldora, ""Ultimate Skill"" Raphael, and other powerful comrades, the ruler of the Tempest is confident in taking down his enemies one by one until he can face the man pulling the strings.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1033/118296.jpg,https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2
Kobayashi-san Chi no Maid Dragon S,Miss Kobayashi's Dragon Maid S,"['Fantasy', 'Slice of Life']",8.34,Kyoto Animation,TV,Ranked #207,"Members 479,848","As Tooru continues on her quest to become the greatest maid and Kanna Kamui fully immerses in her life as an elementary school student, there is not a dull day in the Kobayashi household with mischief being a daily staple. On one such day, however, a massive landslide is spotted on the hill where Kobayashi and Tooru first met—a clear display of a dragon's might. When none of the dragons they know claim responsibility, the perpetrator herself descends from the skies: Ilulu, the radical Chaos Dragon with monstrous power rivaling that of Tooru.

Sickened by Tooru's involvement with humans, Ilulu resorts to the typical dragon method of resolving conflict—a battle to the death. Despite such behavior, she becomes intrigued by Kobayashi's ability to befriend dragons and decides instead to observe just what makes Kobayashi so special. With a new troublesome dragon in town, Kobayashi's eccentric life with a dragon maid is only getting merrier.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1252/115539.jpg,https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S
Vanitas no Karte,The Case Study of Vanitas,"['Supernatural', 'Historical', 'Vampire', 'Shounen']",7.91,Bones,TV,Ranked #712,"Members 429,543","Scorned by others of his kind for being born under a blue moon, the vampire Vanitas grew afraid and desolate. According to legend, he created a cursed grimoire known as the ""Book of Vanitas,"" and it is said he would one day use it to bring retribution upon all vampires of the crimson moon.

In 19th century Paris, Noé Archiviste is searching for the fabled Book of Vanitas. Whilst traveling aboard an airship, he is saved from a vampire attack by an eccentric doctor who calls himself Vanitas and carries the very tome he seeks. Ironically, the self-proclaimed vampire specialist is a mere human who inherited both his name and the book from his master, the same Vanitas of legend. As the odd case of the Charlatan's Parade crops up, the doctor's ability to restore sanity to vampires by recovering their true name will prove most beneficial.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1401/118483.jpg,https://myanimelist.net/anime/48580/Vanitas_no_Karte
"Tantei wa Mou, Shindeiru.",The Detective Is Already Dead,"['Comedy', 'Drama', 'Mystery', 'Romance']",6.35,ENGI,TV,Ranked #7373,"Members 320,433","Kimihiko Kimizuka has found himself inadvertently entangled in various crimes more times than he can remember, referring to himself as a magnet for trouble. One day, as if it was nothing out of the ordinary, a group of unknown men kidnaps him, forcing him to board a flight—where he also encounters a hijacking. Amid the resulting chaos, however, Kimizuka meets a stunning silver-haired beauty, going by the codename Siesta, who then saves the day.

Claiming to be a legendary detective, Siesta enlists Kimizuka to be her sidekick. Though Kimizuka refuses at first, with Siesta's insistence, he eventually joins her—marking the start of a grand adventure spanning the entire world, preventing multiple threats that could spell doom for humanity along the way.

Unfortunately, after three years of their unpredictable yet enjoyable time together, Siesta abruptly passes away. Distraught, Kimizuka tries to leave all memories of her behind, but as he begins to meet more people, it seems that Siesta's influence will never truly die.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1843/115815.jpg,https://myanimelist.net/anime/46471/Tantei_wa_Mou_Shindeiru
Tsuki ga Michibiku Isekai Douchuu,Tsukimichi -Moonlit Fantasy-,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai']",7.72,C2C,TV,Ranked #1083,"Members 315,819","As part of a mysterious contract agreed upon by a goddess and his parents years ago, Makoto Misumi finds himself sent to another world to meet the goddess and become the hero. However, the deity deems Makoto to be ""hideous,"" refusing to even lay eyes upon him and revokes his heroic title. Disdainfully giving him the ability to understand all languages except the human language as compensation, the goddess drives Makoto off to the farthest edges of the wasteland, far from human civilization.

Due to the disparity between Earth and this new world, Makoto's inherent physical and magical capabilities awaken, making him extremely powerful. He meets various demihumans and mythical beings who all end up being captivated with his characteristics and join Makoto in building a new community where all of them can peacefully coexist.

Nevertheless, despite this success, Makoto still yearns to meet fellow humans. In a world where the goddess herself has barred him from interacting with his kind, it is up to Makoto and his companions to fulfill his desire—and perhaps reform society along the way.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1950/116474.jpg,https://myanimelist.net/anime/43523/Tsuki_ga_Michibiku_Isekai_Douchuu
Genjitsu Shugi Yuusha no Oukoku Saikenki,How a Realist Hero Rebuilt the Kingdom,"['Action', 'Fantasy', 'Romance', 'Harem', 'Isekai', 'Military']",7.24,J.C.Staff,TV,Ranked #2821,"Members 315,433","After the death of his grandfather, 19-year-old Kazuya Souma—an aspiring civil servant—is left all alone with no one to call family. Out of the blue, he is transported to the Elfrieden Kingdom, a small ailing country in another world, to be a ""hero."" An ongoing war with the demon army has put the entire world in peril, and Kazuya was summoned to aid in the conflict as an offering from Elfrieden to its allies.

Dissatisfied with being used as tribute, Kazuya decides to help the kingdom revamp its declining economy—not by way of adventuring or war, but through administrative reform. Abruptly declared the King of Elfrieden and betrothed to the princess, the ""Realist Hero"" Kazuya sets out to assemble a group of talented citizens who will assist him in his bureaucratic battles to get the kingdom back on its feet.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1297/118764.jpg,https://myanimelist.net/anime/41710/Genjitsu_Shugi_Yuusha_no_Oukoku_Saikenki
Kanojo mo Kanojo,"Girlfriend, Girlfriend","['Comedy', 'Romance', 'Harem', 'School', 'Shounen']",6.56,Tezuka Productions,TV,Ranked #6181,"Members 301,994","Naoya Mukai is having the time of his life after his childhood friend Saki Saki finally accepts one of his countless confessions. Ensuring that their relationship will stay strong, he spares no effort in showering affection to his now beloved girlfriend.

However, one afternoon, another girl named Nagisa Minase suddenly confesses to Naoya following months of preparation. Even though he politely rejects her, Nagisa's irresistible charm and determination continue to attract Naoya. Wanting to fulfill both Saki and Nagisa's desires, Naoya ends up proposing a crazy idea—to date the two of them simultaneously, with both girls fully aware. This unprecedented state of affairs ultimately causes wacky and hilarious situations in whatever they do to keep their unusual relationship going. 

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1713/117119.jpg,https://myanimelist.net/anime/43969/Kanojo_mo_Kanojo
Bokutachi no Remake,Remake Our Life!,"['Drama', 'Romance', 'Slice of Life', 'Adult Cast', 'Time Travel']",7.43,feel.,TV,Ranked #1940,"Members 288,207","Life is not going well for 28-year-old Kyouya Hashiba. Having left his office job to pursue a career in the video game industry, his internship at a popular game studio abruptly ends, leaving him unemployed and forcing him to move back in with his parents. Additionally, his jealousy toward the success of the ""Platinum Generation""—a group of similarly-aged creators—has caused him to regret his decision to attend a traditional university instead of an arts college. Even though he believes there are no second chances in life, Kyouya is suddenly given one when he wakes up one day and finds himself 10 years in the past.

Instead of choosing business school like he originally had, Kyouya decides to pursue his passions and attends the Oonaka University of Art. There, he meets classmate Eiko Kawasegawa, the woman who had hired him as an intern in the present, alongside his new housemates and future Platinum Generation members: underachieving artist Aki Shino, aspiring singer and actress Nanako Kogure, and naturally-gifted writer Tsurayuki Rokuonji.

With each project they complete together, Kyouya and his friends venture closer to discovering their true potential as creators and remaking their lives into the ideal versions they desire.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1871/118309.jpg,https://myanimelist.net/anime/40904/Bokutachi_no_Remake
Seirei Gensouki,Seirei Gensouki: Spirit Chronicles,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Harem', 'Isekai', 'Reincarnation']",7.05,TMS Entertainment,TV,Ranked #3774,"Members 285,337","When 20-year-old college student Haruto Amakawa dies in a traffic accident, he does not expect to wake up in an unfamiliar world in the body of a young boy named Rio. As their memories and personas fuse, Rio realizes that he now also possesses magical powers. He is relieved to find that his burning passion for revenge against his mother's murderers has not subsided, despite his newly changed identity.

Not soon after, Rio comes across the kidnapped princess of the Bertram Kingdom and saves her without hesitation. To express his gratitude, the king grants him the opportunity to enroll in the Bertram Royal Academy. Believing this to be a new chapter in his life, he is excited to study at this prestigious academy, but life here proves to be difficult for him, a slum-dweller surrounded by the majestic children of nobles.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1836/116060.jpg,https://myanimelist.net/anime/44203/Seirei_Gensouki
Sonny Boy,,"['Award Winning', 'Mystery', 'Isekai', 'Super Power']",7.74,Madhouse,TV,Ranked #1041,"Members 252,889","Thirty-six students find themselves and their school building suddenly adrift in a void-like dimension. When supernatural powers awaken in some of them, a sense of detachment begins to divide the group. Despite the student council's attempts to impose order, they clash with the students possessing special abilities, who rebel against their strict control.

This conflict leads them to discover that this world has its own set of rules—and following them is necessary for survival. After one of the students decides to take a leap of faith, the school switches dimensions once again. While they deal with the unique challenges and circumstances that each world presents, the students must unravel the mysterious phenomenon and find a way back home.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1509/117149.jpg,https://myanimelist.net/anime/48849/Sonny_Boy
